fetched from: https://autoconfig.thunderbird.net/v1.1/, enriched, updated at: 2024-05-08
domain;smtp_host:smtp_port,smtp_host:smtp_port,smtp_host:smtp_port;smtp_login_template
camel.plala.or.jp;camel.mail.plala.or.jp:587;%EMAILLOCALPART%
caress.com;smtp.mail.com:465;%EMAILADDRESS%
brazilmail.com;smtp.mail.com:465;%EMAILADDRESS%
centurytel.net;smtpauth.centurytel.net:587;%EMAILADDRESS%
catlover.com;smtp.mail.com:465;%EMAILADDRESS%
bp.iij4u.or.jp;mbox.iij4u.or.jp:587;%EMAILLOCALPART%.%EMAILDOMAIN%
chef.net;smtp.mail.com:465;%EMAILADDRESS%
bb-niigata.jp;pop.bb-niigata.jp:25;%EMAILLOCALPART%
cheerful.com;smtp.mail.com:465;%EMAILADDRESS%
att.net;outbound.att.net:465;%EMAILADDRESS%
beige.plala.or.jp;beige.mail.plala.or.jp:587;%EMAILLOCALPART%
chello.nl;smtp.upcmail.nl:25,pop.upcmail.nl:587;%EMAILADDRESS%
chemist.com;smtp.mail.com:465;%EMAILADDRESS%
clds.net;smtpauth.centurytel.net:587;%EMAILADDRESS%
city.dk;mail.telenor.dk:587;%EMAILADDRESS%
cameo.plala.or.jp;cameo.mail.plala.or.jp:587;%EMAILLOCALPART%
california.usa.com;smtp.mail.com:465;%EMAILADDRESS%
centurylink.net;smtp.centurylink.net:587;%EMAILADDRESS%
clerk.com;smtp.mail.com:465;%EMAILADDRESS%
brew-master.com;smtp.mail.com:465;%EMAILADDRESS%
casema.nl;smtp.ziggo.nl:587,tracker.data.ziggo.nl:587;%EMAILADDRESS%
club-internet.fr;smtp.sfr.fr:465;%EMAILADDRESS%
clio.ne.jp;mail.clio.ne.jp:587;%EMAILLOCALPART%
charter.com;mobile.charter.net:587;%EMAILADDRESS%
cgl.ucsf.edu;plato.cgl.ucsf.edu:587;%EMAILLOCALPART%
charter.net;mobile.charter.net:587;%EMAILADDRESS%
co1.wind.jp;co1.wind.ne.jp:587;%EMAILLOCALPART%
chinamail.com;smtp.mail.com:465;%EMAILADDRESS%
cmail.plala.or.jp;cmail.mail.plala.or.jp:587;%EMAILLOCALPART%
co2.wind.jp;co2.wind.ne.jp:587;%EMAILLOCALPART%
co1.wind.ne.jp;co1.wind.ne.jp:587;%EMAILLOCALPART%
